Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Days upon Outcome
A681757,Mitch Zuniga,7/10/14,11:38AM,Return to Owner,,Dog,Neutered Male,2 years,Rottweiler Mix,Tricolor,730
A683030,Oso,7/10/14,12:04PM,Adoption,,Dog,Neutered Male,2 months,Australian Shepherd Mix,Tricolor,60
A678941,*Kelly,7/10/14,12:42PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,90
A682760,*Jasper,7/10/14,12:48PM,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown,365
A682723,*Madeline,7/10/14,12:48PM,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown Brindle/White,730
A678940,*Katie,7/10/14,12:50PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,90
A683180,Daisy,7/10/14,12:51PM,Return to Owner,,Dog,Spayed Female,7 years,Jack Russell Terrier Mix,White/Tan,2555
A537127,Coco,7/10/14,1:13PM,Return to Owner,,Dog,Neutered Male,7 years,Miniature Poodle Mix,Chocolate,2555
A670953,Penny,7/10/14,2:11PM,Adoption,Foster,Dog,Spayed Female,1 year,Australian Kelpie Mix,Red,365
A683024,*Ruby,7/10/14,2:13PM,Euthanasia,Medical,Dog,Intact Female,13 years,Collie Rough Mix,White/Black,4745
A682528,Bristol,7/10/14,2:35PM,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Torbie,1825
A678905,*Alice,7/10/14,2:45PM,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever/Australian Shepherd,Black/White,30
A678913,*Michael,7/10/14,2:46PM,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever/Australian Shepherd,Tricolor,30
A678912,*Cheetah,7/10/14,2:49PM,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever/Australian Shepherd,Black/White,30
A683402,Luna,7/10/14,2:51PM,Return to Owner,,Dog,Spayed Female,4 years,Great Dane Mix,Blue Merle,1460
A680659,*Molly,7/10/14,2:55PM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown,365
A683424,Rufus,7/10/14,3:01PM,Return to Owner,,Dog,Neutered Male,10 years,Schipperke Mix,Red/Black,3650
A683398,Sonny,7/10/14,3:37PM,Return to Owner,,Livestock,Neutered Male,2 years,Donkey Mix,Gray,730
A683390,Alfred,7/10/14,4:02PM,Return to Owner,,Dog,Intact Male,1 year,Dachshund,Brown/White,365
A682633,Rooster,7/10/14,4:37PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,60
A683414,,7/10/14,4:43PM,Transfer,Partner,Bird,Unknown,3 weeks,Sparrow Mix,Brown/Black,21
A683477,,7/10/14,4:48PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Black,365
A683354,,7/10/14,4:49PM,Euthanasia,Suffering,Dog,Intact Male,3 years,Boxer/Labrador Retriever,Brown,1095
A683434,,7/10/14,4:57PM,Transfer,Partner,Dog,Intact Male,9 months,Dachshund/Australian Cattle Dog,Chocolate/Brown Merle,270
A683132,Chowda,7/10/14,5:03PM,Return to Owner,,Dog,Spayed Female,3 years,Chow Chow,Brown,1095
A683025,,7/10/14,5:16PM,Adoption,,Dog,Neutered Male,2 years,Dachshund Mix,Red Tick/White,730
A683017,,7/10/14,5:16PM,Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,300
A682967,,7/10/14,5:17PM,Adoption,,Dog,Spayed Female,3 years,Dachshund Mix,Black/Tan,1095
A683478,,7/10/14,5:19PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,365
A683026,,7/10/14,5:24PM,Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair Mix,Black/Tan,365
A683057,Lem Lem,7/10/14,5:39PM,Adoption,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Black/Tan,3285
A682651,Thor,7/10/14,5:39PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White,730
A682650,Saedi,7/10/14,5:40PM,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,365
A682302,,7/10/14,5:41PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,90
A683050,Henry,7/10/14,5:54PM,Transfer,Partner,Dog,Neutered Male,8 years,Pomeranian Mix,Brown,2920
A682836,,7/10/14,5:57PM,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby,365
A683063,,7/10/14,6:06PM,Adoption,,Dog,Neutered Male,1 year,Cairn Terrier Mix,Red/White,365
A683408,,7/10/14,6:16PM,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,365
A682970,,7/10/14,6:21PM,Adoption,,Dog,Spayed Female,2 months,Dachshund Longhair Mix,Black/Tan,60
A682502,Nacho,7/10/14,6:30PM,Return to Owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Tan,1460
A683054,Shadow,7/10/14,6:52PM,Adoption,,Dog,Neutered Male,2 months,Boxer Mix,Brown/Black,60
A305674,Crystal,7/10/14,6:53PM,Euthanasia,Suffering,Dog,Spayed Female,12 years,Siberian Husky Mix,Brown/Cream,4380
A683345,Muffin,7/10/14,6:59PM,Adoption,,Dog,Spayed Female,9 months,Soft Coated Wheaten Terrier/Labrador Retriever,Sable/Tan,270
A681247,*Sabine,7/10/14,7:00PM,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby,60
A683346,Queso,7/10/14,7:07PM,Adoption,,Dog,Neutered Male,9 months,Soft Coated Wheaten Terrier/Labrador Retriever,Sable/Tan,270
A683091,,7/10/14,7:48PM,Transfer,Partner,Dog,Intact Female,6 months,Great Dane,Blue Merle/White,180
A678132,*Sheeba,7/11/14,6:59AM,Adoption,Foster,Dog,Spayed Female,7 years,Collie Rough/Chinese Sharpei,Brown/Black,2555
A678907,*Tyron,7/11/14,7:15AM,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Australian Shepherd,Tricolor,30
A678903,*Mako,7/11/14,7:15AM,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever/Australian Shepherd,Black/White,30
A683342,,7/11/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Cream/White,365
A683343,,7/11/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Orange,365
A683356,,7/11/14,9:00AM,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue,120
A683357,,7/11/14,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue,120
A683358,,7/11/14,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue,120
A683359,,7/11/14,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue,120
A660512,Filina,7/11/14,11:02AM,Transfer,Partner,Dog,Spayed Female,5 years,Australian Cattle Dog Mix,White/Brown Brindle,1825
A683382,,7/11/14,11:09AM,Transfer,Partner,Other,Unknown,1 year,Guinea Pig Mix,Black/White,365
A683379,,7/11/14,11:10AM,Transfer,Partner,Other,Unknown,1 year,Hamster Mix,Gray/White,365
A683484,Theodore,7/11/14,11:54AM,Return to Owner,,Dog,Neutered Male,4 years,Rat Terrier Mix,White/Tricolor,1460
A678255,Tyson,7/11/14,12:12PM,Adoption,,Dog,Neutered Male,6 years,Miniature Pinscher Mix,Black/Tan,2190
A681791,Sugar,7/11/14,12:29PM,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu,Buff/Gray,730
A609281,Star,7/11/14,12:54PM,Return to Owner,,Dog,Spayed Female,5 years,American Pit Bull Terrier,Chocolate/White,1825
A682968,Obi-Wan,7/11/14,1:43PM,Adoption,,Dog,Neutered Male,2 months,Dachshund Mix,Black/Tan,60
A682686,Tabitha,7/11/14,2:05PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,90
A682303,,7/11/14,2:06PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,90
A678324,*Willie,7/11/14,2:37PM,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White,1095
A683448,,7/11/14,2:39PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby/White,28
A682573,Harley Quinn,7/11/14,3:25PM,Adoption,,Dog,Spayed Female,1 year,German Wirehaired Pointer Mix,Black/White,365
A682969,Lizzie,7/11/14,3:29PM,Adoption,,Dog,Spayed Female,2 months,Dachshund Mix,Black/Tan,60
A683076,*Sitka,7/11/14,3:35PM,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,White,365
A683077,*Juan,7/11/14,3:35PM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,White,60
A682529,Chelsea,7/11/14,3:35PM,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico,1825
A683514,,7/11/14,3:35PM,Transfer,Partner,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby,60
A683079,*Molly,7/11/14,3:57PM,Transfer,Partner,Dog,Intact Female,2 months,Anatol Shepherd Mix,Brown/White,60
A683148,,7/11/14,3:57PM,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,60
A682835,,7/11/14,3:58PM,Transfer,Partner,Dog,Intact Male,3 months,Catahoula Mix,Tan/White,90
A590479,Molly,7/11/14,4:01PM,Adoption,,Dog,Spayed Female,7 years,Great Pyrenees/Standard Poodle,White,2555
A683491,,7/11/14,4:43PM,Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Tan/White,730
A683535,,7/11/14,4:46PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Brown/Black,365
A680380,,7/11/14,4:52PM,Died,In Foster,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,30
A683149,,7/11/14,4:54PM,Transfer,Partner,Dog,Intact Female,2 months,Boxer Mix,Brown/White,60
A683090,Jenny Tyson,7/11/14,4:54PM,Adoption,,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Brown/Black,60
A681281,Rose,7/11/14,4:56PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby,90
A682617,Paisley,7/11/14,5:12PM,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Chocolate/White,365
A680537,Ajax,7/11/14,5:22PM,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue/White,30
A682994,Cookie,7/11/14,5:26PM,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tricolor,1460
A683104,Sarah,7/11/14,5:31PM,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Seal Point/White,60
A682805,Sadie Mae,7/11/14,5:36PM,Adoption,,Dog,Spayed Female,3 years,Border Collie Mix,Tan/White,1095
A683094,Granger,7/11/14,5:37PM,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White,730
A648687,Lulu,7/11/14,5:41PM,Return to Owner,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,365
A681905,Lilly,7/11/14,5:43PM,Adoption,,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Black/White,60
A683306,Pikachu,7/11/14,5:49PM,Return to Owner,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan/White,60
A683536,,7/11/14,5:51PM,Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Brown Tabby,3
A681570,*Big Joe,7/11/14,5:51PM,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Blue Lacy,Black/White,30
A683093,Toby,7/11/14,5:53PM,Adoption,,Dog,Neutered Male,3 years,Yorkshire Terrier Mix,Brown/Black,1095
A678211,Em,7/11/14,5:55PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,60
A683114,French Fry,7/11/14,6:01PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby,90
A682707,*Jake,7/11/14,6:01PM,Euthanasia,Aggressive,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Black/White,730
A681800,*Joey,7/11/14,6:03PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A681801,*Donny,7/11/14,6:03PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A682628,Bernard,7/11/14,6:18PM,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White,1095
A683150,Moxie,7/11/14,6:22PM,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,60
A681575,Sandy,7/11/14,6:38PM,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever/Blue Lacy,Tricolor,30
A673904,Sparticus,7/11/14,6:48PM,Return to Owner,,Dog,Intact Male,1 year,Boxer Mix,White,365
A680059,*Jam,7/11/14,6:53PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue Tabby,60
A683161,,7/11/14,6:54PM,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Blue/White,60
A683119,Hopper,7/11/14,6:55PM,Adoption,,Dog,Neutered Male,2 months,Manchester Terrier/Jack Russell Terrier,White/Tan,60
A683428,,7/11/14,7:09PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby,21
A683429,,7/11/14,7:09PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,21
A683430,,7/11/14,7:09PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream,21
A683431,,7/11/14,7:09PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,21
A683432,,7/11/14,7:10PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,21
A683558,,7/11/14,10:32PM,Euthanasia,Suffering,Other,Unknown,4 weeks,Raccoon,Brown,28
A683591,,7/12/14,12:00AM,Transfer,Partner,Bird,Unknown,4 weeks,Catbird Mix,Brown,28
A683407,,7/12/14,9:00AM,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,90
A683458,,7/12/14,9:00AM,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Cream Tabby,90
A683454,,7/12/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,365
A683307,,7/12/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,365
A683294,,7/12/14,9:00AM,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,90
A683290,,7/12/14,9:00AM,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Medium Hair,Brown Tabby,1095
A683557,,7/12/14,9:12AM,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black,28
A683560,,7/12/14,9:13AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Gray/Black,365
A682597,,7/12/14,10:03AM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico,120
A680714,Penelope Ros,7/12/14,10:30AM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Orange Tabby,60
A683528,Miss Pheobe,7/12/14,11:09AM,Return to Owner,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,365
A681958,*Nelda,7/12/14,11:21AM,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black/White,30
A683058,,7/12/14,11:25AM,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown,1095
A675662,*Duncan,7/12/14,11:25AM,Transfer,Partner,Dog,Neutered Male,3 years,Dogo Argentino Mix,White,1095
A677959,,7/12/14,11:36AM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby,90
A677837,,7/12/14,11:38AM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue/White,90
A677835,*Suzette,7/12/14,11:41AM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,365
A677836,,7/12/14,11:43AM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,90
A682877,*Tammy,7/12/14,11:43AM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,30
A682878,*Sammie,7/12/14,11:43AM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,30
A682879,*Cammie,7/12/14,11:43AM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby,30
A683139,*Bobby,7/12/14,11:44AM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,30
A683140,*Sandy,7/12/14,11:44AM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,30
A683141,*Barbara,7/12/14,11:44AM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,30
A678212,*Midnight,7/12/14,11:50AM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,60
A683160,,7/12/14,11:57AM,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Blue/White,60
A676729,Kent,7/12/14,11:59AM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,60
A676730,Macbeth,7/12/14,12:00PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,60
A683571,,7/12/14,12:00PM,Euthanasia,Suffering,Cat,Intact Male,1 week,Domestic Shorthair Mix,Orange Tabby,7
A668692,*Lucas,7/12/14,12:01PM,Adoption,,Dog,Neutered Male,2 years,American Bulldog Mix,White/Brown Brindle,730
A681436,*Cedar,7/12/14,12:03PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby,90
A681519,*Macon,7/12/14,12:04PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60
A681432,*Willow,7/12/14,12:05PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,90
A676273,,7/12/14,12:06PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,90
A681250,Susie,7/12/14,12:09PM,Transfer,Partner,Dog,Spayed Female,6 years,Australian Shepherd/Labrador Retriever,Blue Merle,2190
A678825,Oliver,7/12/14,12:10PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,90
A682379,,7/12/14,12:14PM,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,120
A678668,*Fred,7/12/14,12:16PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60
A680996,*Felicia,7/12/14,12:19PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,60
A679592,*Caramel,7/12/14,12:20PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,90
A680473,*Libby,7/12/14,12:24PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,60
A683159,,7/12/14,12:29PM,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/White,60
A682378,Chuck,7/12/14,12:48PM,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,120
A680740,Silver,7/12/14,12:49PM,Adoption,,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Tortie,730
A682619,Ebis,7/12/14,12:55PM,Return to Owner,,Dog,Neutered Male,3 years,German Shepherd Mix,Tan/White,1095
A679751,Arwen,7/12/14,1:02PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico,120
A679034,*Chip,7/12/14,1:05PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,90
A681802,Shakespeare,7/12/14,1:10PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60
A679515,Eddie,7/12/14,1:19PM,Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair,Black,2920
A683112,,7/12/14,1:20PM,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,730
A681380,Pinky,7/12/14,1:36PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,60
A682709,Endo,7/12/14,1:37PM,Return to Owner,,Dog,Neutered Male,5 years,Boxer Mix,White/Black,1825
A682312,*Murphey,7/12/14,1:42PM,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown/White,60
A682284,*Julius,7/12/14,1:43PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60
A680539,Iris,7/12/14,1:47PM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue,30
A683572,George,7/12/14,1:53PM,Return to Owner,,Dog,Neutered Male,8 years,Collie Smooth Mix,Tan/White,2920
A680536,Lilly,7/12/14,1:56PM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,30
A683270,Klaatu,7/12/14,2:01PM,Adoption,,Cat,Intact Male,2 months,Siamese Mix,Lynx Point,60
A682415,,7/12/14,2:01PM,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black,60
A675665,Sammy,7/12/14,2:02PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,365
A683580,Jack,7/12/14,2:09PM,Return to Owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White,730
A681955,*Banshee,7/12/14,2:11PM,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White,120
A681875,,7/12/14,2:12PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,60
A671013,Godiva,7/12/14,2:29PM,Adoption,,Cat,Spayed Female,13 years,Domestic Medium Hair Mix,Brown Tabby/White,4745
A683586,,7/12/14,2:35PM,Euthanasia,Suffering,Cat,Intact Female,12 years,Domestic Longhair Mix,Tortie,4380
A681798,*Jordan,7/12/14,2:50PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,60
A682085,Winnie,7/12/14,3:00PM,Adoption,,Cat,Spayed Female,4 years,Russian Blue Mix,Blue,1460
A682283,*Lizzy,7/12/14,3:01PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,60
A682282,*Lyra,7/12/14,3:02PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,60
A500002,Bruce Lee,7/12/14,3:10PM,Euthanasia,Aggressive,Dog,Intact Male,7 years,Labrador Retriever/Boxer,Black/White,2555
A683587,Nubbins,7/12/14,3:11PM,Euthanasia,Suffering,Cat,Neutered Male,8 years,Japanese Bobtail Mix,White/Blue,2920
A682592,Maddie,7/12/14,3:14PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A682997,Rex,7/12/14,3:21PM,Adoption,,Dog,Neutered Male,2 years,Rhod Ridgeback/Harrier,Brown/White,730
A682416,*Eddie,7/12/14,3:28PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,60
A668199,*Sam,7/12/14,3:31PM,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,730
A683353,Dino,7/12/14,3:32PM,Return to Owner,,Dog,Neutered Male,11 months,Australian Cattle Dog/Beagle,Brown,330
A680458,*Wynken,7/12/14,3:35PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,60
A683440,,7/12/14,3:46PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie/White,30
A683096,Brownie,7/12/14,3:46PM,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Fawn,730
A683437,,7/12/14,3:47PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,30
A683438,,7/12/14,3:47PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,30
A682598,,7/12/14,3:55PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico,120
A678083,*Aspen,7/12/14,3:57PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,90
A682942,,7/12/14,4:05PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Silver Tabby,60
A680301,Cleo,7/12/14,4:07PM,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Red,365
A674847,Chichio,7/12/14,4:07PM,Euthanasia,Aggressive,Dog,Neutered Male,4 years,Pit Bull Mix,Brown,1460
A679430,Four,7/12/14,4:09PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White,60
A683029,*Lamb,7/12/14,4:13PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,30
A680489,*Trixie,7/12/14,4:14PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,90
A681476,Skittles,7/12/14,4:14PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby,60
A680490,*Tess,7/12/14,4:17PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,90
A683441,,7/12/14,4:18PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Torbie/White,30
A683589,,7/12/14,4:19PM,Transfer,Partner,Cat,Intact Female,6 days,Siamese Mix,White/Lynx Point,6
A628147,Brodie,7/12/14,4:31PM,Return to Owner,,Dog,Neutered Male,2 years,American Bulldog/Pit Bull,White,730
A681435,*Spruce,7/12/14,4:33PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby,90
A682281,*Tilly,7/12/14,4:42PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,60
A682420,*Topo,7/12/14,4:43PM,Adoption,,Dog,Spayed Female,3 years,Blue Lacy Mix,Fawn,1095
A681979,,7/12/14,4:46PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,60
A682286,*Seven,7/12/14,4:49PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,60
A683104,Sarah,7/12/14,5:02PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Seal Point/White,60
A679579,*Suzie,7/12/14,5:09PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A682852,*Velma,7/12/14,5:10PM,Adoption,,Dog,Spayed Female,1 year,Dachshund/Pit Bull,Black/White,365
A681475,Oreo,7/12/14,5:12PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby,60
A676274,,7/12/14,5:15PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,90
